"category","goods_no","title","subtitle","author","author_url","publisher","publisher_url","publish_date","discount_rate","price_discount","price_original","point","review_count","review_score","sale_count","sale_status","event_title","event_period","tag","used_count","ebook_exist","ebook_price","preview_exist","revised_info","image_url","detail_url","delivery_info","description"
"인공지능","146321383","PHYSICAL AI: 인공지능에 몸을 더하다",NA,"손병희","https://www.yes24.com/product/search?domain=ALL&query=%25EC%2586%2590%25EB%25B3%2591%25ED%259D%25AC&authorNo=494491&author=손병희","지오북스","https://www.yes24.com/product/search?&domain=ALL&company=%ec%a7%80%ec%98%a4%eb%b6%81%ec%8a%a4&query=%25EC%25A7%2580%25EC%2598%25A4%25EB%25B6%2581%25EC%258A%25A4","2025년 06월",NA,"24,000","24,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"N",NA,"https://image.yes24.com/goods/146321383/L","https://www.yes24.com/product/goods/146321383","5/15(목) 발송예정(예약판매)","『PHYSICAL AI: 인공지능에 몸을 더하다』는 Maum AI의 독자적인 기술과 AI와 로봇 기술의 미래 전망을 중심으로, AI 로봇이 어떻게 다양한 산업과 사회적 요구에 대응할 수 있는지, 그리고 인간과 공존할 수 있는 ..."
"인공지능","145417334","『AI 덕분에 오늘도 칼퇴합니다』 박소이 저자 북토크",NA,"박소이","/product/search?domain=ALL&query=%25EB%25B0%2595%25EC%2586%258C%25EC%259D%25B4&author=박소이","비전코리아","https://www.yes24.com/product/search?&domain=ALL&company=%eb%b9%84%ec%a0%84%ec%bd%94%eb%a6%ac%ec%95%84&query=%25EB%25B9%2584%25EC%25A0%2584%25EC%25BD%2594%25EB%25A6%25AC%25EC%2595%2584","2025년 05월",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"#작가만남",NA,"N",NA,"N",NA,"https://image.yes24.com/goods/145417334/L","https://www.yes24.com/product/goods/145417334",NA,"『AI 덕분에 오늘도 칼퇴합니다』 박소이 저자 북토크[행사 상세]1. 일시 : 2025년 5월 30일(금) 오후 2시2. 장소 : 예스24 강서NC점 [서울시 강서구 강서로 56길 17, NC백화점 강서점 8층]3. 신청기간 : ~5/27(화)4..."
"인공지능","146357427","인공지능과 의식 (큰글자책)",NA,"한정규","https://www.yes24.com/product/search?domain=ALL&query=%25ED%2595%259C%25EC%25A0%2595%25EA%25B7%259C&authorNo=494592&author=한정규","커뮤니케이션북스","https://www.yes24.com/product/search?&domain=ALL&company=%ec%bb%a4%eb%ae%a4%eb%8b%88%ec%bc%80%ec%9d%b4%ec%85%98%eb%b6%81%ec%8a%a4&query=%25EC%25BB%25A4%25EB%25AE%25A4%25EB%258B%2588%25EC%25BC%2580%25EC%259D%25B4%25EC%2585%2598%25EB%25B6%2581%25EC%258A%25A4","2025년 05월",NA,"25,000","25,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/goods/146357427/L","https://www.yes24.com/product/goods/146357427","5/20(화) 발송예정(예약판매)","인간의 자각과 기계의 지능이 만나는 지점에서 의식의 본질을 탐구한다. 철학과 과학, 기술이 얽힌 이 복잡한 질문은 여전히 우리를 가장 깊은 사유로 이끈다."
"인공지능","146357424","인공지능과 의식",NA,"한정규","https://www.yes24.com/product/search?domain=ALL&query=%25ED%2595%259C%25EC%25A0%2595%25EA%25B7%259C&authorNo=494592&author=한정규","커뮤니케이션북스","https://www.yes24.com/product/search?&domain=ALL&company=%ec%bb%a4%eb%ae%a4%eb%8b%88%ec%bc%80%ec%9d%b4%ec%85%98%eb%b6%81%ec%8a%a4&query=%25EC%25BB%25A4%25EB%25AE%25A4%25EB%258B%2588%25EC%25BC%2580%25EC%259D%25B4%25EC%2585%2598%25EB%25B6%2581%25EC%258A%25A4","2025년 05월",NA,"12,000","12,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/goods/146357424/L","https://www.yes24.com/product/goods/146357424","5/20(화) 발송예정(예약판매)","인간의 자각과 기계의 지능이 만나는 지점에서 의식의 본질을 탐구한다. 철학과 과학, 기술이 얽힌 이 복잡한 질문은 여전히 우리를 가장 깊은 사유로 이끈다."
"인공지능","146357417","AI와 생성 음악 (큰글자책)",NA,"최영신","https://www.yes24.com/product/search?domain=ALL&query=%25EC%25B5%259C%25EC%2598%2581%25EC%258B%25A0&authorNo=433518&author=최영신","커뮤니케이션북스","https://www.yes24.com/product/search?&domain=ALL&company=%ec%bb%a4%eb%ae%a4%eb%8b%88%ec%bc%80%ec%9d%b4%ec%85%98%eb%b6%81%ec%8a%a4&query=%25EC%25BB%25A4%25EB%25AE%25A4%25EB%258B%2588%25EC%25BC%2580%25EC%259D%25B4%25EC%2585%2598%25EB%25B6%2581%25EC%258A%25A4","2025년 05월",NA,"25,000","25,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/146357417","5/20(화) 발송예정(예약판매)","생성형 AI 기술이 음악 창작과 소비의 방식을 어떻게 바꾸고 있는지를 짚는다. 기술의 발전이 열어젖힌 창작의 문, 그 안에서 인간은 여전히 주체일 수 있을까?"
"인공지능","146357413","AI와 생성 음악",NA,"최영신","https://www.yes24.com/product/search?domain=ALL&query=%25EC%25B5%259C%25EC%2598%2581%25EC%258B%25A0&authorNo=433518&author=최영신","커뮤니케이션북스","https://www.yes24.com/product/search?&domain=ALL&company=%ec%bb%a4%eb%ae%a4%eb%8b%88%ec%bc%80%ec%9d%b4%ec%85%98%eb%b6%81%ec%8a%a4&query=%25EC%25BB%25A4%25EB%25AE%25A4%25EB%258B%2588%25EC%25BC%2580%25EC%259D%25B4%25EC%2585%2598%25EB%25B6%2581%25EC%258A%25A4","2025년 05월",NA,"12,000","12,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/146357413","5/20(화) 발송예정(예약판매)","생성형 AI 기술이 음악 창작과 소비의 방식을 어떻게 바꾸고 있는지를 짚는다."
"인공지능","146290174","비전공자도 이해할 수 있는 챗GPT","생성형 AI의 원리와 시장 이해, 프롬프트 작성까지, 챗GPT를 일상과 업무에 활용하기 위한 모든 기초 지식!","박상길; 정진호","https://www.yes24.com/product/search?domain=ALL&query=%25EB%25B0%2595%25EC%2583%2581%25EA%25B8%25B8&authorNo=305969&author=박상길; https://www.yes24.com/product/search?domain=ALL&query=%25EC%25A0%2595%25EC%25A7%2584%25ED%2598%25B8&authorNo=152195&author=정진호","비즈니스북스","https://www.yes24.com/product/search?&domain=ALL&company=%eb%b9%84%ec%a6%88%eb%8b%88%ec%8a%a4%eb%b6%81%ec%8a%a4&query=%25EB%25B9%2584%25EC%25A6%2588%25EB%258B%2588%25EC%258A%25A4%25EB%25B6%2581%25EC%258A%25A4","2025년 05월","10","17,550","19,500","포인트적립970원",NA,NA,"판매지수 60",NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/146290174","5/15(목) 발송예정(예약판매)","인류 역사상 가장 중요한 기술 챗GPT에 대해AI · LLM 전문가의 통찰과 IT 전문 일러스트레이터의 그림으로 풀어낸세상에서 가장 이해하기 쉬운 챗GPT 교양서!챗GPT는 단순한 기술을 넘어 이제 우리 일상과 산업 전반..."
"인공지능","146280341","세계 최고 AI 전문가가 되는 111가지 원칙","AI 전문가 김병완이 전하는","김병완","https://www.yes24.com/product/search?domain=ALL&query=%25EA%25B9%2580%25EB%25B3%2591%25EC%2599%2584&authorNo=147745&author=김병완","플랫폼연구소","https://www.yes24.com/product/search?&domain=ALL&company=%ed%94%8c%eb%9e%ab%ed%8f%bc%ec%97%b0%ea%b5%ac%ec%86%8c&query=%25ED%2594%258C%25EB%259E%25AB%25ED%258F%25BC%25EC%2597%25B0%25EA%25B5%25AC%25EC%2586%258C","2025년 05월","10","19,800","22,000","포인트적립1,100원","1","10.0","판매지수 60",NA,NA,NA,NA,"17,000원","Y","17,000원","N",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/146280341","5/20(화) 발송예정(예약판매)","AI 시대, 소비자가 아닌 창조자가 되어야 할 이유지금, 우리는 인류 역사상 가장 거대한 전환점 위에 서 있다. 인공지능이라는 이름의 새로운 문명이 눈앞에 펼쳐졌고, 인간은 선택해야 할 시점에 와 있다. 소비자로..."
"인공지능","146309483","AI와 버추얼 휴먼 비즈니스 (큰글자책)",NA,"이창준; 원종서; 송유상","https://www.yes24.com/product/search?domain=ALL&query=%25EC%259D%25B4%25EC%25B0%25BD%25EC%25A4%2580&authorNo=494438&author=이창준; https://www.yes24.com/product/search?domain=ALL&query=%25EC%259B%2590%25EC%25A2%2585%25EC%2584%259C&authorNo=363784&author=원종서; https://www.yes24.com/product/search?domain=ALL&query=%25EC%2586%25A1%25EC%259C%25A0%25EC%2583%2581&authorNo=494437&author=송유상","커뮤니케이션북스","https://www.yes24.com/product/search?&domain=ALL&company=%ec%bb%a4%eb%ae%a4%eb%8b%88%ec%bc%80%ec%9d%b4%ec%85%98%eb%b6%81%ec%8a%a4&query=%25EC%25BB%25A4%25EB%25AE%25A4%25EB%258B%2588%25EC%25BC%2580%25EC%259D%25B4%25EC%2585%2598%25EB%25B6%2581%25EC%258A%25A4","2025년 05월",NA,"25,000","25,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/146309483","5/15(목) 발송예정(예약판매)","생성형 AI의 발전은 산업 전반의 디지털 전환을 가속하며, 버추얼 휴먼은 그 중심 기술로 부상하고 있다. CG 기반을 넘어 광고, 유튜버, 홈쇼핑 등 실질 비즈니스에 활용되며, 대기업과 스타트업이 협력하는 디지털 ..."
"인공지능","146309480","AI와 버추얼 휴먼 비즈니스",NA,"송유상; 원종서; 이창준","https://www.yes24.com/product/search?domain=ALL&query=%25EC%2586%25A1%25EC%259C%25A0%25EC%2583%2581&authorNo=494437&author=송유상; https://www.yes24.com/product/search?domain=ALL&query=%25EC%259B%2590%25EC%25A2%2585%25EC%2584%259C&authorNo=363784&author=원종서; https://www.yes24.com/product/search?domain=ALL&query=%25EC%259D%25B4%25EC%25B0%25BD%25EC%25A4%2580&authorNo=494438&author=이창준","커뮤니케이션북스","https://www.yes24.com/product/search?&domain=ALL&company=%ec%bb%a4%eb%ae%a4%eb%8b%88%ec%bc%80%ec%9d%b4%ec%85%98%eb%b6%81%ec%8a%a4&query=%25EC%25BB%25A4%25EB%25AE%25A4%25EB%258B%2588%25EC%25BC%2580%25EC%259D%25B4%25EC%2585%2598%25EB%25B6%2581%25EC%258A%25A4","2025년 05월",NA,"12,000","12,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/146309480","5/16(금) 발송예정(예약판매)","생성형 AI의 발전은 산업 전반의 디지털 전환을 가속하며, 버추얼 휴먼은 그 중심 기술로 부상하고 있다. CG 기반을 넘어 광고, 유튜버, 홈쇼핑 등 실질 비즈니스에 활용되며, 대기업과 스타트업이 협력하는 디지털 ..."
