"category","goods_no","title","subtitle","author","author_url","publisher","publisher_url","publish_date","discount_rate","price_discount","price_original","point","review_count","review_score","sale_count","sale_status","event_title","event_period","tag","used_count","ebook_exist","ebook_price","preview_exist","revised_info","image_url","detail_url","delivery_info","description"
"모바일 프로그래밍","145013501","처음부터 시작하는 Next.js / React 개발 입문",NA,"미요시 아키; 김모세","https://www.yes24.com/product/search?domain=ALL&query=%25EB%25AF%25B8%25EC%259A%2594%25EC%258B%259C%2520%25EC%2595%2584%25ED%2582%25A4&authorNo=492038&author=미요시 아키; https://www.yes24.com/product/search?domain=ALL&query=%25EA%25B9%2580%25EB%25AA%25A8%25EC%2584%25B8&authorNo=361041&author=김모세","AK(에이케이 커뮤니케이션즈)","https://www.yes24.com/product/search?&domain=ALL&company=AK(%ec%97%90%ec%9d%b4%ec%bc%80%ec%9d%b4+%ec%bb%a4%eb%ae%a4%eb%8b%88%ec%bc%80%ec%9d%b4%ec%85%98%ec%a6%88)&query=AK(%25EC%2597%2590%25EC%259D%25B4%25EC%25BC%2580%25EC%259D%25B4%2520%25EC%25BB%25A4%25EB%25AE%25A4%25EB%258B%2588%25EC%25BC%2580%25EC%259D%25B4%25EC%2585%2598%25EC%25A6%2588)","2025년 04월","5","33,440","35,200","포인트적립700원",NA,NA,"판매지수 726",NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/goods/145013501/L","https://www.yes24.com/product/goods/145013501","내일 (5/12, 월) 도착예정","『처음부터 시작하는 Next.js / React 개발 입문』은 Next.js를 처음 사용하는 분을 대상 독자로 한 초보자용 입문서이다. ‘Next.js가 어렵게 느껴졌지만 의외로 그렇지 않다’, ‘Next.js로 애플리케이션을 개발해..."
"모바일 프로그래밍","143049138","Do it! 스위프트로 아이폰 앱 만들기 입문","일상생활 필수 앱을 직접 만들며 배운다!","송호정; 이범근","https://www.yes24.com/product/search?domain=ALL&query=%25EC%2586%25A1%25ED%2598%25B8%25EC%25A0%2595&authorNo=198126&author=송호정; https://www.yes24.com/product/search?domain=ALL&query=%25EC%259D%25B4%25EB%25B2%2594%25EA%25B7%25BC&authorNo=198127&author=이범근","이지스퍼블리싱","https://www.yes24.com/product/search?&domain=ALL&company=%ec%9d%b4%ec%a7%80%ec%8a%a4%ed%8d%bc%eb%b8%94%eb%a6%ac%ec%8b%b1&query=%25EC%259D%25B4%25EC%25A7%2580%25EC%258A%25A4%25ED%258D%25BC%25EB%25B8%2594%25EB%25A6%25AC%25EC%258B%25B1","2025년 03월","10","32,400","36,000","포인트적립1,800원","4","9.5","판매지수 492",NA,"『Do it! LLM을 활용한 AI 에이전트 개발 입문』 출간 기념 이벤트 - Do it! 키캡","(25.05.02 ~ 00.12.31)",NA,"26,000원","Y","26,000원","Y",NA,"https://image.yes24.com/goods/143049138/L","https://www.yes24.com/product/goods/143049138","내일 (5/12, 월) 도착예정","아이폰 앱 개발 분야 1위! 『Do it! 스위프트로 아이폰 앱 만들기 입문』 2025년 최신판 출간!아이폰 앱 개발 분야 1위 도서인 『Do it! 스위프트로 아이폰 앱 만들기 입문』이 최신 버전을 반영하여 전면 개정되었..."
"모바일 프로그래밍","142690359","Kotlin in Action 2/e","코틀린 컴파일러 개발자가 직접 알려주는 코틀린 언어 핵심","세바스티안 아이그너; 로만 엘리자로프; 스베트라나 이사코바; 드미트리 제메로프; 오현석","https://www.yes24.com/product/search?domain=ALL&query=%25EC%2584%25B8%25EB%25B0%2594%25EC%258A%25A4%25ED%258B%25B0%25EC%2595%2588%2520%25EC%2595%2584%25EC%259D%25B4%25EA%25B7%25B8%25EB%2584%2588&authorNo=486260&author=세바스티안 아이그너; https://www.yes24.com/product/search?domain=ALL&query=%25EB%25A1%259C%25EB%25A7%258C%2520%25EC%2597%2598%25EB%25A6%25AC%25EC%259E%2590%25EB%25A1%259C%25ED%2594%2584&authorNo=486261&author=로만 엘리자로프; https://www.yes24.com/product/search?domain=ALL&query=%25EC%258A%25A4%25EB%25B2%25A0%25ED%258A%25B8%25EB%259D%25BC%25EB%2582%2598%2520%25EC%259D%25B4%25EC%2582%25AC%25EC%25BD%2594%25EB%25B0%2594&authorNo=192001&author=스베트라나 이사코바; https://www.yes24.com/product/search?domain=ALL&query=%25EB%2593%259C%25EB%25AF%25B8%25ED%258A%25B8%25EB%25A6%25AC%2520%25EC%25A0%259C%25EB%25A9%2594%25EB%25A1%259C%25ED%2594%2584&authorNo=192000&author=드미트리 제메로프; https://www.yes24.com/product/search?domain=ALL&query=%25EC%2598%25A4%25ED%2598%2584%25EC%2584%259D&authorNo=192002&author=오현석","에이콘출판사","https://www.yes24.com/product/search?&domain=ALL&company=%ec%97%90%ec%9d%b4%ec%bd%98%ec%b6%9c%ed%8c%90%ec%82%ac&query=%25EC%2597%2590%25EC%259D%25B4%25EC%25BD%2598%25EC%25B6%259C%25ED%258C%2590%25EC%2582%25AC","2025년 02월","10","43,200","48,000","포인트적립2,400원",NA,NA,"판매지수 3,012",NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/goods/142690359/L","https://www.yes24.com/product/goods/142690359","내일 (5/12, 월) 도착예정","안드로이드 공식 언어인 코틀린은 실용성과 간결성, 자바와의 상호 운용성으로 인해 서버 프로그래밍 등 다양한 분야에 쓰이는 경우가 늘고 있다. 코틀린 언어의 가장 큰 특징이라면 실용성을 들 수 있을 것이다. 이..."
"모바일 프로그래밍","142557036","코틀린으로 배우는 안드로이드 앱 개발 실전 노하우 2/e","실용적이고 창의적인 앱을 위한","알렉스 포레스터; 에란 부즈나; 알렉산드루 덤브라반; 조마르 티그칼; 김윤지; 임태규","https://www.yes24.com/product/search?domain=ALL&query=%25EC%2595%258C%25EB%25A0%2589%25EC%258A%25A4%2520%25ED%258F%25AC%25EB%25A0%2588%25EC%258A%25A4%25ED%2584%25B0&authorNo=485718&author=알렉스 포레스터; https://www.yes24.com/product/search?domain=ALL&query=%25EC%2597%2590%25EB%259E%2580%2520%25EB%25B6%2580%25EC%25A6%2588%25EB%2582%2598&authorNo=485719&author=에란 부즈나; https://www.yes24.com/product/search?domain=ALL&query=%25EC%2595%258C%25EB%25A0%2589%25EC%2582%25B0%25EB%2593%259C%25EB%25A3%25A8%2520%25EB%258D%25A4%25EB%25B8%258C%25EB%259D%25BC%25EB%25B0%2598&authorNo=485720&author=알렉산드루 덤브라반; https://www.yes24.com/product/search?domain=ALL&query=%25EC%25A1%25B0%25EB%25A7%2588%25EB%25A5%25B4%2520%25ED%258B%25B0%25EA%25B7%25B8%25EC%25B9%25BC&authorNo=485721&author=조마르 티그칼; https://www.yes24.com/product/search?domain=ALL&query=%25EA%25B9%2580%25EC%259C%25A4%25EC%25A7%2580&authorNo=485722&author=김윤지; https://www.yes24.com/product/search?domain=ALL&query=%25EC%259E%2584%25ED%2583%259C%25EA%25B7%259C&authorNo=352976&author=임태규","에이콘출판사","https://www.yes24.com/product/search?&domain=ALL&company=%ec%97%90%ec%9d%b4%ec%bd%98%ec%b6%9c%ed%8c%90%ec%82%ac&query=%25EC%2597%2590%25EC%259D%25B4%25EC%25BD%2598%25EC%25B6%259C%25ED%258C%2590%25EC%2582%25AC","2025년 02월","10","40,500","45,000","포인트적립2,250원","2","9.0","판매지수 468",NA,NA,NA,NA,"36,000원","Y","36,000원","Y",NA,"https://image.yes24.com/goods/142557036/L","https://www.yes24.com/product/goods/142557036","내일 (5/12, 월) 도착예정","이 책은 안드로이드 스튜디오와 코틀린을 활용해 앱을 만드는 기초부터 시작해, 사용자 친화적인 화면 설계, 백그라운드 작업, 데이터 관리, 앱 내비게이션 등 앱 개발의 핵심 기술을 익힐 수 있도록 돕는다. Retrof..."
"모바일 프로그래밍","142763143","레트로의 유니티 6 게임 프로그래밍 에센스","4가지 게임을 만들면서 배우는 실전 유니티 개발 가이드","이제민","https://www.yes24.com/product/search?domain=ALL&query=%25EC%259D%25B4%25EC%25A0%259C%25EB%25AF%25BC&authorNo=248602&author=이제민","한빛미디어","https://www.yes24.com/product/search?&domain=ALL&company=%ed%95%9c%eb%b9%9b%eb%af%b8%eb%94%94%ec%96%b4&query=%25ED%2595%259C%25EB%25B9%259B%25EB%25AF%25B8%25EB%2594%2594%25EC%2596%25B4","2025년 02월","10","59,400","66,000","포인트적립3,300원","71","9.8","판매지수 3,909",NA,NA,NA,"#분철","52,800원","Y","52,800원","Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/142763143","내일 (5/12, 월) 도착예정","최고의 유니티 마스터 레트로가 알려주는 가장 친절한 유니티 게임 개발 튜토리얼유니티 입문서의 절대 강자 『레트로의 유니티 게임 프로그래밍 에센스』가 유니티 6에 맞춰 더욱 강력해진 3판으로 돌아왔다. 이 책..."
"모바일 프로그래밍","141792177","Do it! 깡샘의 안드로이드 앱 프로그래밍 with 코틀린",NA,"강성윤","https://www.yes24.com/product/search?domain=ALL&query=%25EA%25B0%2595%25EC%2584%25B1%25EC%259C%25A4&authorNo=189966&author=강성윤","이지스퍼블리싱","https://www.yes24.com/product/search?&domain=ALL&company=%ec%9d%b4%ec%a7%80%ec%8a%a4%ed%8d%bc%eb%b8%94%eb%a6%ac%ec%8b%b1&query=%25EC%259D%25B4%25EC%25A7%2580%25EC%258A%25A4%25ED%258D%25BC%25EB%25B8%2594%25EB%25A6%25AC%25EC%258B%25B1","2025년 02월","10","37,800","42,000","포인트적립2,100원","21","10.0","판매지수 2,946",NA,"『Do it! LLM을 활용한 AI 에이전트 개발 입문』 출간 기념 이벤트 - Do it! 키캡","(25.05.02 ~ 00.12.31)",NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/141792177","내일 (5/12, 월) 도착예정","안드로이드 분야 도서 1위! 개정 4판 출간!20여 년간 현업과 강의 현장에서 쌓은 ‘깡샘’의 개발 노하우를 배워 보자! 안드로이드 분야 1위 도서인 『Do it! 깡샘의 안드로이드 앱 프로그래밍 with 코틀린』이 개정..."
"모바일 프로그래밍","140242586","선생님을 위한 노션","실전기초/수업활용/학생관리/업무관리/업무자동화/노션AI","임세범","https://www.yes24.com/product/search?domain=ALL&query=%25EC%259E%2584%25EC%2584%25B8%25EB%25B2%2594&authorNo=479184&author=임세범","앤써북","https://www.yes24.com/product/search?&domain=ALL&company=%ec%95%a4%ec%8d%a8%eb%b6%81&query=%25EC%2595%25A4%25EC%258D%25A8%25EB%25B6%2581","2025년 01월","10","19,620","21,800","포인트적립1,090원","15","9.9","판매지수 8,655",NA,NA,NA,NA,NA,"N",NA,"N",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/140242586","내일 (5/12, 월) 도착예정","유치원·어린이집/초·중·고등학교 선생님을 위한 쉬운 노션 활용 비법서노션 실전기초, 수업활용, 학생관리, 업무관리, 업무자동화, 노션AI 활용법을 한 번에 다 잡자! 이제까지 선생님을 위한 노션 사용법을 알려주..."
"모바일 프로그래밍","142251304","코틀린 아카데미 3권 세트","핵심편 + 함수형 프로그래밍 + 고급편","마르친 모스카와; 신성열","https://www.yes24.com/product/search?domain=ALL&query=%25EB%25A7%2588%25EB%25A5%25B4%25EC%25B9%259C%2520%25EB%25AA%25A8%25EC%258A%25A4%25EC%25B9%25B4%25EC%2599%2580&authorNo=439802&author=마르친 모스카와; https://www.yes24.com/product/search?domain=ALL&query=%25EC%258B%25A0%25EC%2584%25B1%25EC%2597%25B4&authorNo=439803&author=신성열","인사이트(insight)","https://www.yes24.com/product/search?&domain=ALL&company=%ec%9d%b8%ec%82%ac%ec%9d%b4%ed%8a%b8(insight)&query=%25EC%259D%25B8%25EC%2582%25AC%25EC%259D%25B4%25ED%258A%25B8(insight)","2025년 01월","10","73,800","82,000","포인트적립4,100원","3","10.0",NA,NA,NA,NA,NA,NA,"N",NA,"N",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/142251304","내일 (5/12, 월) 도착예정",NA
"모바일 프로그래밍","141732613","코틀린 아카데미 : 고급편",NA,"마르친 모스카와; 신성열","https://www.yes24.com/product/search?domain=ALL&query=%25EB%25A7%2588%25EB%25A5%25B4%25EC%25B9%259C%2520%25EB%25AA%25A8%25EC%258A%25A4%25EC%25B9%25B4%25EC%2599%2580&authorNo=439802&author=마르친 모스카와; https://www.yes24.com/product/search?domain=ALL&query=%25EC%258B%25A0%25EC%2584%25B1%25EC%2597%25B4&authorNo=439803&author=신성열","인사이트(insight)","https://www.yes24.com/product/search?&domain=ALL&company=%ec%9d%b8%ec%82%ac%ec%9d%b4%ed%8a%b8(insight)&query=%25EC%259D%25B8%25EC%2582%25AC%25EC%259D%25B4%25ED%258A%25B8(insight)","2025년 01월","10","27,000","30,000","포인트적립1,500원","1","10.0","판매지수 870",NA,NA,NA,NA,"24,000원","Y","24,000원","Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/141732613","내일 (5/12, 월) 도착예정","평범한 코틀린 개발자에서 진정한 코틀린 전문가로 거듭나기!많은 코틀린 개발자가 실용적인 앱 개발을 위해 컨트랙트, 변성 제어자, 코틀린 심벌 처리기 등의 고급 기능을 사용하고 있지만, 그 내부 동작 원리를 제..."
"모바일 프로그래밍","140837116","Must Have 코드팩토리의 플러터 프로그래밍","Dart&Flutter 입문부터 AI 챗봇과 파이어베이스/슈파베이스/인증/광고/배포까지, 안드로이드+iOS 10가지 모바일 앱 만들기","최지호","https://www.yes24.com/product/search?domain=ALL&query=%25EC%25B5%259C%25EC%25A7%2580%25ED%2598%25B8&authorNo=434964&author=최지호","골든래빗","https://www.yes24.com/product/search?&domain=ALL&company=%ea%b3%a8%eb%93%a0%eb%9e%98%eb%b9%97&query=%25EA%25B3%25A8%25EB%2593%25A0%25EB%259E%2598%25EB%25B9%2597","2025년 01월","10","39,600","44,000","포인트적립2,200원","1","10.0","판매지수 2,862",NA,NA,NA,"#크레마클럽에있어요","35,200원","Y","35,200원","Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/140837116","내일 (5/12, 월) 도착예정","생성형 AI 기술을 사용한 〈AI 챗봇〉 앱 개발 예제 추가!인프런 NO.1 플러터 강사와 함께 현업 수준으로 실력 끌어올려보세요!앱 개발, 관심은 많지만 시작하기 어려운가? 코드팩토리의 플러터 프로그래밍 한 권이..."
