"title","book_id","detail_url","category","author_raw","publisher","pub_date","original_price","sale_price","discount_rate","rating","review_count","delivery_info","badge","signature","series_name","sales_index","is_reserved","has_preview","is_soldout","used_count","ebook_price","revised_notice","ebook_info","gift_info","description","image_url"
"AI와 인간의 판단","146012569","https://www.yes24.com/product/goods/146012569","인공지능","유성진, 손주영, 김종석, 강은숙 저","커뮤니케이션북스","2025년 05월","12,000","12,000",NA,NA,NA,"3일 이내 (5/14, 수) 출고예정",NA,NA,"인공지능 총서",NA,NA,"Y",NA,9,NA,NA,"Y",NA,"인간은 판단 과정에서 다양한 편향과 오류를 범한다. 행동경제학과 인지심리학을 바탕으로 인간 판단의 한계를 분석하고, AI가 이를 어떻게 보완할 수 있는지 살핀다. 동시에 AI의 한계와 윤리적 과제도 비판적으로 ...","https://image.yes24.com/goods/146012569/L"
"디자인 인문학과 인공지능","146012566","https://www.yes24.com/product/goods/146012566","인공지능","박신희 저","커뮤니케이션북스","2025년 05월","12,000","12,000",NA,NA,NA,"3일 이내 (5/14, 수) 출고예정",NA,NA,"인공지능 총서",NA,NA,"Y",NA,9,NA,NA,"Y",NA,"디자인, 인문학, AI의 융합을 통해 인간 중심적이고 지속 가능한 디자인을 모색한다. 기술과 인간 가치의 균형을 고민하며, 창의성과 윤리를 겸비한 미래형 디자인 솔루션을 제시한다.","https://image.yes24.com/goods/146012566/L"
"디자인 인문학과 인공지능 (큰글자책)","146012564","https://www.yes24.com/product/goods/146012564","인공지능","박신희 저","커뮤니케이션북스","2025년 05월","25,000","25,000",NA,NA,NA,"3일 이내 (5/14, 수) 출고예정",NA,NA,"인공지능 총서",NA,NA,NA,NA,NA,NA,NA,NA,NA,"디자인, 인문학, AI의 융합을 통해 인간 중심적이고 지속 가능한 디자인을 모색한다. 기술과 인간 가치의 균형을 고민하며, 창의성과 윤리를 겸비한 미래형 디자인 솔루션을 제시한다.","https://image.yes24.com/goods/146012564/L"
"AI와 정책 홍보의 변화 (큰글자책)","146001340","https://www.yes24.com/product/goods/146001340","인공지능","정휘관 저","커뮤니케이션북스","2025년 05월","25,000","25,000",NA,NA,NA,"3일 이내 (5/14, 수) 출고예정",NA,NA,"인공지능 총서",NA,NA,"Y",NA,NA,NA,NA,NA,NA,"정책 홍보는 정책의 복잡성과 대중 소통 사이에서 늘 균형을 요구받는다. 인공지능이 재편하고 있는 사회에서 정책 홍보의 현재와 미래를 조망한다. AI가 정책 홍보에 가져올 변화와 가능성을 실무 관점에서 분석하...","https://image.yes24.com/goods/146001340/L"
"AI와 정책 홍보의 변화","146001337","https://www.yes24.com/product/goods/146001337","인공지능","정휘관 저","커뮤니케이션북스","2025년 05월","12,000","12,000",NA,NA,NA,"3일 이내 (5/14, 수) 출고예정",NA,NA,"인공지능 총서",42,NA,"Y",NA,NA,NA,NA,NA,NA,"정책 홍보는 정책의 복잡성과 대중 소통 사이에서 늘 균형을 요구받는다. 인공지능이 재편하고 있는 사회에서 정책 홍보의 현재와 미래를 조망한다. AI가 정책 홍보에 가져올 변화와 가능성을 실무 관점에서 분석하...","https://image.yes24.com/goods/146001337/L"
"업무시간을 반으로 줄이는 챗GPT 글쓰기 (큰글자책)","145995000","https://www.yes24.com/product/goods/145995000","인공지능","정태일 저","천그루숲","2025년 05월","36,000","36,000",NA,NA,NA,"3일 이내 (5/14, 수) 출고예정",NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,"“20년 차 스피치라이터의 글쓰기 프롬프트를 훔쳐라”남보다 빨리 퇴근하고 먼저 승진하는 슈퍼 직장인의 챗GPT 글쓰기 전략!직장인의 하루는 글쓰기로 시작해 글쓰기로 끝난다. 메일 한 통, 보고서 한 장, 회의록 ...","https://image.yes24.com/goods/145995000/L"
"DuckDB 인 액션","145630370","https://www.yes24.com/product/goods/145630370","인공지능","마크 니드햄, 마이클 헝거, 마이클 시몬스 저/김의윤 역","인사이트(insight)","2025년 05월","28,000","25,200","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,"프로그래밍인사이트(ProgrammingInsight)",990,NA,"Y",NA,NA,NA,NA,NA,NA,"데이터 분석이 힘들어지는 순간, DuckDB가 필요하다이제 DuckDB로 완전히 새롭게 경험해보자!노트북 하나로 기가바이트 단위 데이터를 1초 만에 분석할 수 있다면 믿을 수 있을까? DuckDB라면 가능하다. CSV, JSON, ...","https://image.yes24.com/goods/145630370/L"
"요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정","145426898","https://www.yes24.com/product/goods/145426898","인공지능","박진환, 공지훈, 서원진 저","한빛미디어","2025년 05월","20,000","18,000","10","9.9","회원리뷰(15건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,13143,NA,"Y",NA,14,NA,NA,"Y","Y","2022 개정 교육과정에 맞춘 실전 에듀테크 활용서챗GPT, 구글 스프레드시트, 캔바, 퍼플렉시티, 클로드, LilysAI, Jungle AI, Sora, NotebookLM, Napkin AI 등 최신 AI 도구가 이 한권에! 생활기록부, 평가 계획 작...","https://image.yes24.com/goods/145426898/L"
"인공지능과 다크 마케팅 (큰글자책)","145996552","https://www.yes24.com/product/goods/145996552","인공지능","유승철 저","커뮤니케이션북스","2025년 05월","25,000","25,000",NA,NA,NA,"3일 이내 (5/14, 수) 출고예정",NA,NA,"인공지능 총서",NA,NA,"Y",NA,NA,NA,NA,NA,NA,"AI 기술은 소비자의 감정과 행동을 실시간 분석해 맞춤형 광고를 제공하지만, 다크 마케팅과 같은 조작 기법으로 소비자의 선택권을 침해하기도 한다. 이 책은 다크 패턴, 개인정보 침해, 광고사기 등 AI 기반 마케...","https://image.yes24.com/goods/145996552/L"
"인공지능과 다크 마케팅","145996550","https://www.yes24.com/product/goods/145996550","인공지능","유승철 저","커뮤니케이션북스","2025년 05월","12,000","12,000",NA,NA,NA,"3일 이내 (5/14, 수) 출고예정",NA,NA,"인공지능 총서",NA,NA,"Y",NA,9,NA,NA,"Y",NA,"AI 기술은 소비자의 감정과 행동을 실시간 분석해 맞춤형 광고를 제공하지만, 다크 마케팅과 같은 조작 기법으로 소비자의 선택권을 침해하기도 한다. 이 책은 다크 패턴, 개인정보 침해, 광고사기 등 AI 기반 마케...","https://image.yes24.com/goods/145996550/L"
"LLM 엔지니어링","145962625","https://www.yes24.com/product/goods/145962625","인공지능","폴 이우수틴, 막심 라본 저/조우철 역","한빛미디어","2025년 05월","38,000","34,200","10","10.0","회원리뷰(5건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,1188,NA,"Y",NA,NA,NA,NA,NA,NA,"LLM 엔지니어링의 모든 것을 망라한 실전 가이드『LLM 엔지니어링』은 프로덕션 수준의 LLM 애플리케이션을 개발하고 배포하는 데 필요한 엔지니어링 방법들을 상세히 안내한다. LLM 라이프사이클을 체계적으로 살펴...","https://image.yes24.com/goods/145962625/L"
"AI와 아그노톨로지 (큰글자책)","145962478","https://www.yes24.com/product/goods/145962478","인공지능","김용하 저","커뮤니케이션북스","2025년 05월","25,000","25,000",NA,NA,NA,"3일 이내 (5/14, 수) 출고예정",NA,NA,"인공지능 총서",NA,NA,"Y",NA,NA,NA,NA,NA,NA,"AI는 정보를 생성하지만 ‘모른다’는 상태를 인식하지 못한다. 인간이 ‘무지의 지’를 갖추고 있다면 AI는 ‘무지의 무지’에 빠져 있는 셈이다. 이 책은 AI와 무지학의 접점을 통해 AI 시대의 무지의 생성과 유통...","https://image.yes24.com/goods/145962478/L"
"AI와 아그노톨로지","145962477","https://www.yes24.com/product/goods/145962477","인공지능","김용하 저","커뮤니케이션북스","2025년 05월","12,000","12,000",NA,NA,NA,"3일 이내 (5/14, 수) 출고예정",NA,NA,"인공지능 총서",NA,NA,"Y",NA,9,NA,NA,"Y",NA,"AI는 정보를 생성하지만 ‘모른다’는 상태를 인식하지 못한다. 인간이 ‘무지의 지’를 갖추고 있다면 AI는 ‘무지의 무지’에 빠져 있는 셈이다. 이 책은 AI와 무지학의 접점을 통해 AI 시대의 무지의 생성과 유통...","https://image.yes24.com/goods/145962477/L"
"AI 덕분에 오늘도 칼퇴합니다","145390414","https://www.yes24.com/product/goods/145390414","인공지능","박소이 저","비전코리아","2025년 05월","16,800","15,120","10","10.0","회원리뷰(47건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,4962,NA,"Y",NA,NA,NA,NA,NA,NA,"아직도 챗 GPT만 사용하시나요?모두 앞서가는 시대에 당신을 위한 AI 첫걸음AI 관련 콘텐츠는 차고 넘쳐나지만, 언제 어떻게 써야 할지는 여전히 어렵고 막막하다. 유튜브엔 “챗GPT로 몇억 벌기” 같은 영상이 가득...","https://image.yes24.com/goods/145390414/L"
"인공지능은 생각하지 않는다","145655968","https://www.yes24.com/product/goods/145655968","인공지능","김송규 저","좋은습관연구소","2025년 05월","18,500","16,650","10","10.0","회원리뷰(1건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,"좋은 습관 시리즈-51",444,NA,"Y",NA,18,NA,NA,"Y",NA,"인공지능을 현명하게 사용하는 역량은 무엇이고, 미래 사회에 꼭 필요한 전문가는 어떤 사람일까? 인공지능이 우리 삶에 깊숙이 들어온 지금, 우리는 과연 ‘생각하는 존재’로 남아 있을 수 있을까? 인공지능의 판...","https://image.yes24.com/goods/145655968/L"
"AI 빅 웨이브, 기술을 넘어 전략으로","145226803","https://www.yes24.com/product/goods/145226803","인공지능","은종성 저","책길","2025년 05월","19,800","17,820","10","10.0","회원리뷰(4건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,270,NA,"Y",NA,13,NA,NA,"Y","Y","인공지능을 비즈니스모델과 전략 관점에서 바로본 책생성형 AI, AI 에이전트, 온디바이스 AI… 매일같이 쏟아지는 뉴스 속에서 우리는 마치 변화의 물결 위에 올라탄 것 같지만, 정작 중요한 질문은 여전히 공중에 ...","https://image.yes24.com/goods/145226803/L"
