"title","book_id","detail_url","category","author_raw","publisher","pub_date","original_price","sale_price","discount_rate","rating","review_count","delivery_info","badge","signature","series_name","sales_index","is_reserved","has_preview","is_soldout","revised_notice","ebook_info","gift_info","description","image_url"
"마스터링 몽고DB 7.0","145719322","https://www.yes24.com/product/goods/145719322","OS/데이터베이스","마르코 알렉센드리치, 아레크 보루츠키, 레안드루 도밍게스, 말라크 아부 함마드, 엘리 한누시 저 외 3명
                                        
                                            정보 더 보기/감추기
                                            
                                                
                                                    마르코 알렉센드리치
                                                                아레크 보루츠키
                                                                레안드루 도밍게스
                                                                말라크 아부 함마드
                                                                엘리 한누시
                                                                라제시 나이어
                                                                레이철 파머
                                                                윤명식","제이펍","2025년 05월","36,000","32,400","10",NA,NA,"5/15(목) 발송예정(예약판매)",NA,"제4판",NA,453,"Y","Y",NA,NA,NA,NA,"효율적이고 안전한 고성능 애플리케이션을 만드는 데 필요한 몽고DB 기술 몽고DB의 활용부터 고급 기능까지 자세히 다루는 궁극의 가이드다. 몽고DB 아키텍처, 개발자 도구, 데이터베이스 연결로 시작해, 집계 파이...","https://image.yes24.com/goods/145719322/L"
"시스템 설계 면접 완벽 가이드","146001566","https://www.yes24.com/product/goods/146001566","OS/데이터베이스","지용 탄 저/나정호 역","위키북스","2025년 05월","35,000","31,500","10",NA,NA,"5/15(목) 발송예정(예약판매)",NA,NA,"위키북스 시스템 & 네트워크 시리즈-017",528,"Y","Y",NA,NA,NA,NA,"시스템 설계 면접 인터뷰는 소프트웨어 엔지니어링 채용 과정에서 마주하게 될 가장 어려운 도전 중 하나이다. 『시스템 설계 면접 완벽 가이드』는 자신 있게 인터뷰를 성공적으로 이끌어 나가는 방법을 배울 수 있...","https://image.yes24.com/goods/146001566/L"
"59가지 통계학 궁금증 완전 정복","146344298","https://www.yes24.com/product/goods/146344298","OS/데이터베이스","황성원 저","길벗","2025년 05월","24,000","21,600","10",NA,NA,"5/15(목) 발송예정(예약판매)",NA,NA,NA,480,"Y","Y",NA,NA,NA,NA,"실무에서 자꾸 헷갈리는 통계, 이번엔 제대로 이해한다!통계는 단순한 분석 기법을 넘어 데이터의 의미를 해석하고 신뢰할 수 있는 결과를 도출하는 데 필수인 도구다. 하지만 많은 사람이 실무에서 통계를 접하면, ...","https://image.yes24.com/goods/146344298/L"
"DuckDB 인 액션","145630370","https://www.yes24.com/product/goods/145630370","OS/데이터베이스","마크 니드햄, 마이클 헝거, 마이클 시몬스 저/김의윤 역","인사이트(insight)","2025년 05월","28,000","25,200","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,"프로그래밍인사이트(ProgrammingInsight)",990,NA,"Y",NA,NA,NA,NA,"데이터 분석이 힘들어지는 순간, DuckDB가 필요하다이제 DuckDB로 완전히 새롭게 경험해보자!노트북 하나로 기가바이트 단위 데이터를 1초 만에 분석할 수 있다면 믿을 수 있을까? DuckDB라면 가능하다. CSV, JSON, ...","https://image.yes24.com/goods/145630370/L"
"Whar R You R로 읽는 데이터분석 이야기","145967369","https://www.yes24.com/product/goods/145967369","OS/데이터베이스","박재성 저","지필출판사(지필미디어)","2025년 05월","28,000","28,000",NA,NA,NA,"2일 이내 (5/13, 화) 출고예정",NA,NA,NA,60,NA,NA,NA,NA,NA,NA,"R은 처음부터 기존 프로그램들과는 접근방식이 달라 처음에는 무척 낯설다. 벡터와 행렬이라는 선형대수의 기초부터 들고 나와, 곧 바로 사용가능한 프로시저를 제공하는 다른 프로그램들과는 달리 처음에 무엇을 어...","https://image.yes24.com/goods/145967369/L"
"클라우드 솔루션을 위한 생성형 AI","145656189","https://www.yes24.com/product/goods/145656189","OS/데이터베이스","폴 싱, 아누라그 시리시 카루파르티 저/김상필, 박태호 역","에이콘온","2025년 04월","32,000","28,800","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,"에이콘 클라우드 컴퓨팅",180,NA,"Y",NA,NA,NA,NA,"마이크로소프트의 솔루션 아키텍트 퐁 싱과 아누라그 카루파티가 저술한 『클라우드 솔루션을 위한 생성형 AI』는 AI 기술의 기초 원리부터 실제 활용 방안, 그리고 미래 전망에 이르기까지 방대한 내용을 체계적으...","https://image.yes24.com/goods/145656189/L"
"모두의 딥러닝","145612410","https://www.yes24.com/product/goods/145612410","OS/데이터베이스","조태호 저","길벗","2025년 04월","29,000","26,100","10","10.0","회원리뷰(1건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"개정 4판",NA,972,NA,"Y",NA,NA,NA,"Y","그 무엇보다 쉽게, 누구나 이해할 수 있는 딥러닝 입문서딥러닝 기초부터 챗GPT의 근간이 되는 자연어 처리와 트랜스포머까지!머신 러닝부터 챗GPT까지, AI는 끊임없이 변화하고 있지만, 그 변치 않는 뿌리는 딥러닝...","https://image.yes24.com/goods/145612410/L"
"랭체인으로 RAG 개발하기: VectorRAG & GraphRAG","145605137","https://www.yes24.com/product/goods/145605137","OS/데이터베이스","서지영 저","길벗","2025년 04월","29,000","26,100","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,1056,NA,"Y",NA,NA,NA,"Y","VectorRAG와 GraphRAG의 차이와 구현 방법을 기본 예제로 간단히!OpenAI와 DeepSeek의 개념과 성능 차이를 실습을 통해 직접 확인한다. VectorRAG와 GraphRAG, 두 RAG는 서로 어떻게 다를까? 또 각각 어떤 데이터와 ...","https://image.yes24.com/goods/145605137/L"
"Select SQL 쿼리 작성법 From 기초편; 이럴 땐, 이런 쿼리!","145292039","https://www.yes24.com/product/goods/145292039","OS/데이터베이스","서경숙, 장석은, 김현중, 엄태명 저","프리렉","2025년 04월","26,000","23,400","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,495,NA,"Y",NA,NA,NA,NA,"‘분석’하기 전, 원하는 데이터를 직접 추출하는 능력이 먼저이다.실무와 취업을 위한 SQL, 지금 시작하자!AI 시대의 화두는 데이터 어떻게 다룰 것이냐이다. 하지만, 그러기 위해서는 원하는 데이터를 꺼내야 하는...","https://image.yes24.com/goods/145292039/L"
"머신 러닝 Q & AI","144225906","https://www.yes24.com/product/goods/144225906","OS/데이터베이스","세바스찬 라시카 저/박해선 역","길벗","2025년 04월","35,000","31,500","10","9.8","회원리뷰(10건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,1176,NA,"Y",NA,NA,"Y",NA,"머신 러닝, 딥러닝, AI 전문가에게 묻다. “세바스찬 라시카, 이런 게 궁금해요!”다양한 고급 주제와 최신 동향을, 쉬운 그림과 Q&A 구성으로, 간단명료하지만 쉽고 흥미롭게!이 책은 인공지능 분야의 선두에 서 있...","https://image.yes24.com/goods/144225906/L"
