"title","book_id","detail_url","category","author_raw","publisher","pub_date","original_price","sale_price","discount_rate","rating","review_count","delivery_info","badge","signature","series_name","sales_index","is_reserved","has_preview","is_soldout","revised_notice","ebook_info","gift_info","description","image_url"
"2025 시대에듀 유선배 컴퓨터그래픽기능사 실기 합격노트","145670963","https://www.yes24.com/product/goods/145670963","컴퓨터 수험서","김가은 저","시대고시기획 시대교육","2025년 06월","31,000","27,900","10","10.0","회원리뷰(1건)","2일 이내 (5/13, 화) 출고예정",NA,"유튜브 무료 동영상 강의 제공",NA,NA,NA,"Y",NA,NA,"Y",NA,"『2025 시대에듀 유선배 컴퓨터그래픽기능사 실기 합격노트』는 컴퓨터그래픽기능사 실기시험을 준비하는 분들을 위해 한국산업인력공단에서 제공한 공개문제를 바탕으로 시험에서 자주 나오는 문제들을 해결할 수 ...","https://image.yes24.com/goods/145670963/L"
"토마토패스 빅데이터분석기사 실기(파이썬) 단기완성","146309473","https://www.yes24.com/product/goods/146309473","컴퓨터 수험서","박영식 저","예문에듀","2025년 05월","30,000","27,000","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,"빅데이터분석기사 실기 최단기 합격을 위한 저자만의 노하우 총집합빅데이터분석기사 실기 자격시험을 준비하는 전공자·비전공자를 포함한 모든 수험생에게 가장 빠른 합격을 선사할 ‘토마토패스 빅데이터분석기사 ...","https://image.yes24.com/goods/146309473/L"
"2025 시대에듀 유선배 경영정보시각화능력 실기(Power BI) 합격노트","143912198","https://www.yes24.com/product/goods/143912198","컴퓨터 수험서","어니언비아이 저","시대고시기획 시대교육","2025년 05월","35,000","31,500","10","9.7","회원리뷰(6건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,978,NA,"Y",NA,NA,"Y",NA,"경영정보시각화능력은 빅데이터 시대에 필수적인 국가기술자격증이다. 세계적으로 기업, 공공기관 등에서 BI를 도입하고 있어 시각화 프로그램의 활용도가 높으며, BI 툴을 이용하여 직접 비즈니스 인사이트를 도출...","https://image.yes24.com/goods/143912198/L"
"2025 시대에듀 파이썬 한권으로 끝내기","143899938","https://www.yes24.com/product/goods/143899938","컴퓨터 수험서","데싸라면, 빨간색 물고기, 자투리코드 편저","시대고시기획 시대교육","2025년 05월","31,000","27,900","10","10.0","회원리뷰(5건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"개정3판",NA,831,NA,"Y",NA,NA,"Y",NA,"한 권으로 데이터분석전문가는 물론 빅데이터분석기사 취득까지 한 번에!시대에듀와 함께 데이터분석 자격시험 합격에 도전하세요!시험을 처음 준비하는 수험생도, 전공자가 아닌 수험생도 시험에 대한 정보를 한눈...","https://image.yes24.com/goods/143899938/L"
"2026 시나공 빅데이터분석기사 실기","145638676","https://www.yes24.com/product/goods/145638676","컴퓨터 수험서","김태헌 저","길벗","2025년 05월","32,000","28,800","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,3855,NA,"Y",NA,NA,"Y",NA,"유튜브 누적 조회수 25만 회, 캐글 52만뷰로 검증된 빅데이터 전문가 퇴근후딴짓의 빅데이터분석기사 실기 합격 노하우를 공개!최신 기출문제를 완벽하게 분석, 수험생 맞춤 구성으로 합격까지 빈틈없이 대비!기출문...","https://image.yes24.com/goods/145638676/L"
"2025 최신판 원큐패스 ISMS-P 기본서 인증심사원 자격검정[핵심이론+실전문제]","146306513","https://www.yes24.com/product/goods/146306513","컴퓨터 수험서","김창중, 한종빈 저","다락원","2025년 05월","50,000","45,000","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,1020,NA,"Y",NA,NA,NA,NA,"4차 산업의 발달로 많은 사람의 개인정보가 있는 기업, 은행, 병원, 학교 같은 기관에서 개인정보 보호 및 관리의 중요성이 대두되고 있으며, ISMS-P(정보보호 및 개인정보보호 관리체계 인증) 인증기준에 클라우드,...","https://image.yes24.com/goods/146306513/L"
"2025 빅데이터분석기사 실기 한권완성 [파이썬(Python)]","145638675","https://www.yes24.com/product/goods/145638675","컴퓨터 수험서","최예신, 박진원, 이경숙, 김주현 저","예문에듀","2025년 05월","30,000","27,000","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,162,NA,"Y",NA,NA,NA,NA,"빅데이터분석기사 실기시험 초단기 합격을 위한 최고의 실전 대비서『2025 빅데이터분석기사 실기 한권완성 [파이썬(Python)]』이 출간되었다. 실제 시험의 출제 경향을 완벽 분석·반영하여 실기시험을 위한 기초 이...","https://image.yes24.com/goods/145638675/L"
"2025 단·축·키 빅데이터 분석기사 실기(R작업형)","145417830","https://www.yes24.com/product/goods/145417830","컴퓨터 수험서","김계철 저","에이아이에듀","2025년 04월","30,000","27,000","10","10.0","회원리뷰(1건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,186,NA,"Y",NA,NA,NA,NA,"QR을 통해 “최신 기출문제 및 해설 강의 제공”, 초보자를 위한 「R 기초 강의 제공」, 빅데이터 분석기사 「작업형 기초 강의 제공」, QR를 통해 “무료 적중 작업형 문제 및 해설 강의 제공”한국데이터베이스진...","https://image.yes24.com/goods/145417830/L"
"엑셀 리터러시","142767331","https://www.yes24.com/product/goods/142767331","컴퓨터 수험서","유현배 저","연두에디션","2025년 04월","18,000","18,000",NA,NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,186,NA,NA,NA,NA,NA,NA,"데이터 시대의 필수 역량, 엑셀 리터러시를 말하다데이터 분석과 관리가 필수 역량이 된 시대, 마이크로소프트 엑셀(Excel)은 단순한 스프레드시트를 넘어 강력한 데이터 처리 도구로 자리 잡았다. 『엑셀 리터러시...","https://image.yes24.com/goods/142767331/L"
"AutoCAD 기본 도면 작업하기","125708162","https://www.yes24.com/product/goods/125708162","컴퓨터 수험서","백연우, 고길석 저","엔플북스","2025년 04월","24,000","21,600","10",NA,NA,"2일 이내 (5/13, 화) 출고예정",NA,"1판 2쇄",NA,60,NA,NA,NA,NA,NA,NA,"손 제도로 도면을 완성하는 실내건축기능사 예제인 원룸을 도면 작업 순서대로 정리하였고 도면 작업 순서는 실내 인테리어 도면의 실내건축, 건축도면의 전산응용건축제도, 공사시공 순서와 비슷하게 작업이 된다는...","https://image.yes24.com/goods/125708162/L"
