"title","book_id","detail_url","category","author_raw","publisher","pub_date","original_price","sale_price","discount_rate","rating","review_count","delivery_info","badge","signature","series_name","sales_index","is_reserved","has_preview","is_soldout","revised_notice","ebook_info","gift_info","description","image_url"
"실무에 바로 적용하는 웹 접근성 가이드북","145375188","https://www.yes24.com/product/goods/145375188","웹사이트","김남경, 곽규현 저","제이펍","2025년 05월","42,000","37,800","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,369,NA,"Y",NA,NA,NA,NA,"웹은 모든 사람에게 평등해야 한다이 책은 웹 접근성을 고려한 개발이 단순한 규칙 준수를 넘어, 모든 사용자가 편리하게 웹을 이용할 수 있도록 돕는 강력한 방법임을 보여준다. 프런트엔드 개발자를 위해 웹 접근...","https://image.yes24.com/goods/145375188/L"
"조코딩의 AI 비트코인 자동 매매 시스템 만들기","145632328","https://www.yes24.com/product/goods/145632328","웹사이트","조동근 저","한빛미디어","2025년 04월","29,000","26,100","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,7674,NA,"Y",NA,NA,"Y","Y","대생성 AI의 시대!아직도 일일이 뉴스를 찾고 직접 매매하면서 투자하고 있나?자동 매매뿐만 아니라 판단까지 생성 AI와 함께 하자!GPT를 활용한 비트코인 AI 자동매매 강의는 지금까지 단순 수식대로 동작하는 알고...","https://image.yes24.com/goods/145632328/L"
"네이버 블로그 AI 자동화 마케팅 with 챗GPT+Zapier+Make","145343581","https://www.yes24.com/product/goods/145343581","웹사이트","조영빈 저","디지털북스","2025년 04월","20,000","18,000","10","10.0","회원리뷰(1건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,2868,NA,"Y",NA,NA,NA,NA,"매일 블로그에 글을 작성하지 않아도 블로그 최적화를 이룩할 수 있다!""챗GPT, 재피어(Zapier), 메이크(Make)로 구현하는 블로그마케팅 자동화의 모든 것“국내에서 가장 많은 사람들이 사용하는 블로그인 네이버 블...","https://image.yes24.com/goods/145343581/L"
"멀티패러다임 프로그래밍","145367977","https://www.yes24.com/product/goods/145367977","웹사이트","유인동 저","한빛미디어","2025년 04월","38,000","34,200","10","9.5","회원리뷰(4건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,8037,NA,"Y",NA,NA,"Y","Y","좋은 코드엔 프로그래밍 패러다임의 경계가 없다!복잡한 문제를 해결하기 위해 객체지향, 함수형, 명령형을 자유롭게 넘나들며 설계하고 구현하는 법 견고한 코드, 유연한 문제 해결을 위한 멀티패러다임 프로그래밍...","https://image.yes24.com/goods/145367977/L"
"AI 디자인 for e-커머스","144905251","https://www.yes24.com/product/goods/144905251","웹사이트","지성민 저","로드북","2025년 04월","27,000","24,300","10","10.0","회원리뷰(3건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,1884,NA,"Y",NA,NA,NA,NA,"아직까지 AI 디자인은 금나와라 뚝딱 하면 금이 나오는 마술 지팡이가 아니다. 셀 수 없이 많은 AI 툴 중에서 선택 장애가 생길 정도로 무엇을 써야 할지 골치가 아프다. 저자는 수많은 툴을 비교 분석해서 딱 8개의...","https://image.yes24.com/goods/144905251/L"
"2025 시대에듀 유선배 웹디자인개발기능사 필기 합격노트","143293707","https://www.yes24.com/product/goods/143293707","웹사이트","홍진아 저","시대고시기획 시대교육","2025년 04월","18,000","16,200","10","9.6","회원리뷰(5건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"개정2판/유튜브 무료 동영상 강의 제공",NA,912,NA,"Y",NA,NA,"Y",NA,"유튜브 선생님에게 배우는 유·선·배 시리즈!이 책은 웹디자인에 대한 기본적인 지식이 없어도 웹디자인개발기능사 시험에 합격할 수 있도록 핵심적인 기출유형을 모아 구성되었다. 과년도 기출문제를 분석하여 시험...","https://image.yes24.com/goods/143293707/L"
"처음부터 시작하는 Next.js / React 개발 입문","145013501","https://www.yes24.com/product/goods/145013501","웹사이트","미요시 아키 저/김모세 역","AK(에이케이 커뮤니케이션즈)","2025년 04월","35,200","33,440","5",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,726,NA,"Y",NA,NA,NA,NA,"『처음부터 시작하는 Next.js / React 개발 입문』은 Next.js를 처음 사용하는 분을 대상 독자로 한 초보자용 입문서이다. ‘Next.js가 어렵게 느껴졌지만 의외로 그렇지 않다’, ‘Next.js로 애플리케이션을 개발해...","https://image.yes24.com/goods/145013501/L"
"선생님을 위한 8282 업무 자동화 with AI+파이썬+노코드","143533211","https://www.yes24.com/product/goods/143533211","웹사이트","강우혁, 김송희, 서승희, 송석리, 한솔 저 외 2명
                                        
                                            정보 더 보기/감추기
                                            
                                                
                                                    강우혁
                                                                김송희
                                                                서승희
                                                                송석리
                                                                한솔
                                                                한준구
                                                                황수빈","골든래빗","2025년 04월","28,000","25,200","10","10.0","회원리뷰(6건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,4083,NA,"Y",NA,NA,"Y","Y","나이스도, 한글도, 엑셀도 손쉽게 그리고 순식간에!수업 준비도! 행정 처리도! 혁신적인 업무 자동화를 원한다면72가지 미친 자동화 예제 지금 만나보자!선생님의 업무 부담을 획기적으로 줄여줄 실전 가이드, 『선...","https://image.yes24.com/goods/143533211/L"
"UX/UI 디자인 완벽 가이드: UI, 인터랙션, 프로토타이핑 편","143343835","https://www.yes24.com/product/goods/143343835","웹사이트","조성봉, 이정은 저","위키북스","2025년 03월","28,000","25,200","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,"위키북스 UX 시리즈-026",858,NA,"Y",NA,NA,NA,NA,"디지털 제품의 성공을 이끄는 UX/UI 디자인의 완벽한 로드맵을 만나보세요!디지털 시대의 필수 역량, UX/UI 디자인의 모든 것을 담았다. 사용자 중심의 UI 설계부터 매력적인 인터랙션 구현, 효과적인 프로토타이핑 ...","https://image.yes24.com/goods/143343835/L"
"메타버스 디자인","143807855","https://www.yes24.com/product/goods/143807855","웹사이트","정승진, 조현재, 강민정 저","홍릉","2025년 03월","16,000","16,000",NA,NA,NA,"2일 이내 (5/13, 화) 출고예정",NA,NA,NA,84,NA,"Y",NA,NA,NA,NA,"메타버스 공간 디자인 전문가 정승진 교수(연세대학교), 메타버스 UI/UX디자인 분야 전문가 조현재 교수(신구대학교), 메타버스 아바타 디자인 분야 전문가 강민정 교수(홍익대학교)가 함께 집필하여 매타버스 디자...","https://image.yes24.com/goods/143807855/L"
