"title","book_id","detail_url","category","author_raw","publisher","pub_date","original_price","sale_price","discount_rate","rating","review_count","delivery_info","badge","signature","series_name","sales_index","is_reserved","has_preview","is_soldout","revised_notice","ebook_info","gift_info","description","image_url"
"GALAXY 갤럭시 비즈니스 활용노트","6454475","https://www.yes24.com/product/goods/6454475","모바일/태블릿/SNS","윤신례 저","인포더북스","2012년 03월","19,500","17,550","10",NA,NA,"2일 이내 (5/13, 화) 출고예정",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"하드웨어(GALAXY)와 소프트웨어(앱:Application)는 계속 진화한다. 이 책은 그 진화하는 과정에서 성공을 위해 한 걸음씩 전진하는 여러분에게 적합한 처방을 내려준다.","https://image.yes24.com/goods/6454475/L"
"iCloud Using Bible 아이클라우드 유징 바이블","6382930","https://www.yes24.com/product/goods/6382930","모바일/태블릿/SNS","이규민 저","황금부엉이","2012년 03월","14,800","13,320","10","8.8","회원리뷰(5건)",NA,NA,NA,"Using Bible-18",NA,NA,"Y","품절",NA,NA,NA,"애플 기기는 동기화 등 특유의 폐쇄성 때문에 데이터 공유가 불편하다는 인식이 많았다. 하지만 애플에서 야심차게 준비한 클라우드 서비스인 iCloud를 사용하면 이런 불평은 쏙 들어가게 된다. 애플 기기 간 데이터...","https://image.yes24.com/goods/6382930/L"
"나는 모바일 오피스에서 일한다","6441597","https://www.yes24.com/product/goods/6441597","모바일/태블릿/SNS","채종서 저","멘토르","2012년 03월","18,800","16,920","10","8.8","회원리뷰(5건)",NA,NA,NA,NA,NA,NA,"Y","절판",NA,NA,NA,"아이폰&아이패드의 유용한 앱과 구글의 다양한 서비스를 연결하여 업무에 잘 활용하는 방법을 소개한다. 그 중에서도 직장인에게 가장 중요한 일정 및 할 일 관리하는 방법, 발 빠르게 최신 정보를 수집하고 관리하...","https://image.yes24.com/goods/6441597/L"
"손글씨 노트","6363055","https://www.yes24.com/product/goods/6363055","모바일/태블릿/SNS","이지남(하폴) 저","중앙m&b","2012년 02월","10,000","9,000","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"절판",NA,NA,NA,"아날로그적인 배경 이미지들은 언제나 선 하나라도 더 긋고 싶게 하고, 네 종류의 펜 브러시는 S펜의 필압 감지 기능으로 자꾸만 글씨를 쓰고 싶게 만든다. 마치 진짜 빈 종이와 연필처럼 말이다. 어찌 보면 간단한 ...","https://image.yes24.com/goods/6363055/L"
"우리 아이를 위한 Kids App 138!","6278289","https://www.yes24.com/product/goods/6278289","모바일/태블릿/SNS","김재섭 저","영진닷컴","2012년 02월","15,000","13,500","10","9.2","회원리뷰(5건)",NA,NA,NA,NA,NA,NA,"Y","절판",NA,"Y",NA,"책에서는 아이들에게 시간 때우기 용으로 태블릿 PC와 스마트폰을 건네고 계신 부모님들을 위해 만들어졌다. 같은 시간, 아이들에게 기기를 건네주었을 때, 단순히 게임으로 시간을 보내기보다는 시간대비 일석이조...","https://image.yes24.com/goods/6278289/L"
"트위터, 페이스북 1시간만에 끝내기","7183143","https://www.yes24.com/product/goods/7183143","모바일/태블릿/SNS","유철기 저","성공이야기","2012년 02월","18,000","16,200","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"품절",NA,NA,NA,"SNS가 가져온 변화에 현명하게 대응하도록 이끌어주는 『트위터 페이스북 1시간만에 끝내기』. 이 책은 트위터와 페이스북이 갖는 특성인 열의, 개방성, 창의성, 네트워킹과 지식의 활용 등을 통해 새로운 디지털매...","https://image.yes24.com/goods/7183143/L"
"갤럭시탭 8.9 Using Bible","6214362","https://www.yes24.com/product/goods/6214362","모바일/태블릿/SNS","이규민 저","황금부엉이","2012년 02월","18,800","16,920","10",NA,NA,NA,NA,NA,"Using Bible-17",NA,NA,"Y","절판",NA,NA,NA,"더 얇고 가벼운 무게로 핸드백 속에 쏘옥 들어가는 갤럭시탭 8.9로 지하철, 도서관, 카페 등 언제 어디서나 쉽게 사용할 수 있도록 초보자 입장에서 쉽고 자세하게 서술하였다. 아이들과 소중한 시간을 보낼 수 있는...","https://image.yes24.com/goods/6214362/L"
"아이폰 4S가 정말 쉬워지는 착한책","6182655","https://www.yes24.com/product/goods/6182655","모바일/태블릿/SNS","강현주 저","황금부엉이","2012년 01월","12,800","11,520","10","9.3","회원리뷰(9건)",NA,NA,NA,NA,NA,NA,"Y","절판",NA,NA,NA,"시중에 나온 아이폰 4S 가이드북 중 가장 큰 화면과 가장 큰 글씨로 구성해 한눈에 쏙 들어오며 모든 단계를 빼먹지 않아 기능을 쉽게 이해하고 마스터 할 수 있다. 캡처화면만 따라하면 제대로 이해하고 배울 수 있...","https://image.yes24.com/goods/6182655/L"
"아이튠즈 Using Bible","6133761","https://www.yes24.com/product/goods/6133761","모바일/태블릿/SNS","이창환 저","황금부엉이","2012년 01월","14,800","13,320","10","9.4","회원리뷰(5건)",NA,NA,NA,"Using Bible-16",NA,NA,"Y","절판",NA,NA,NA,"아이튠즈 다운로드 받기부터 계정 만들기, 컴퓨터 인증까지 아이튠즈를 사용하려면 꼭 필요한 조작법과 기능,  아이튠즈로 음악과 영화을 보고 듣고, 아이폰 벨소리도 만드는 등 아이튠즈를 활용하려면 꼭 알아야 하...","https://image.yes24.com/goods/6133761/L"
"스마트러닝 활용 BEST 30","6209898","https://www.yes24.com/product/goods/6209898","모바일/태블릿/SNS","문택주 저","영진닷컴","2012년 01월","18,000","16,200","10",NA,NA,"2일 이내 (5/13, 화) 출고예정",NA,NA,NA,12,NA,"Y",NA,NA,"Y",NA,"아이패드, 갤럭시탭, PC를 활용한 스마트러닝! 지금까지의 학교 교육이 일방적인 주입식 교육이었다면 앞으로의 교육은 학생 스스로가 자신의 적성과 흥미에 맞는 교육방법을 찾아가는 지능형 맞춤 교육이 될 것이다...","https://image.yes24.com/goods/6209898/L"
"아이폰 트래블 라이프 iPhone Travel Life","6188514","https://www.yes24.com/product/goods/6188514","모바일/태블릿/SNS","권혁빈 저","영진닷컴","2012년 01월","14,000","12,600","10","7.5","회원리뷰(4건)",NA,NA,NA,NA,NA,NA,"Y","절판",NA,"Y",NA,"아이폰은 크기가 작고 가벼워 휴대가 간편하며 방대한 자료를 담는데 어떤 무게나 크기의 제약도 없다. 또 가장 많은 애플리케이션이 등록되어 있는 앱스토어에는 국내뿐 아니라 해외 애플리케이션을 통해서 외국 자...","https://image.yes24.com/goods/6188514/L"
"마키디어의 소셜마케팅 정석","6182885","https://www.yes24.com/product/goods/6182885","모바일/태블릿/SNS","이상배(마키디어) 저","이지스퍼블리싱","2012년 01월","15,000","13,500","10","8.9","회원리뷰(14건)",NA,NA,NA,NA,NA,NA,"Y","절판","개정판이 출간되었습니다.",NA,NA,"대한민국 SNS 마케터들이 가장 많이 찾는 온라인 마케터,마키디어가 공개한다!누구나 할 수 있는 소셜마케팅 실전활용법!우리나라 마케팅 분야에서 가장 인기있는 블로거, 마키디어 이상배가 소셜마케팅 실전 활용법...","https://image.yes24.com/goods/6182885/L"
