"title","book_id","detail_url","category","author_raw","publisher","pub_date","original_price","sale_price","discount_rate","rating","review_count","delivery_info","badge","signature","series_name","sales_index","is_reserved","has_preview","is_soldout","used_count","ebook_price","revised_notice","ebook_info","gift_info","description","image_url"
"엄마 아빠에게 선물하는 스마트폰 활용 + 챗GPT 무한 꿀팁 36","145993511","https://www.yes24.com/product/goods/145993511","오피스 활용","온선(김은정) 저","골든래빗","2025년 06월","24,000","21,600","10",NA,NA,"6/2(월) 발송예정(예약판매)",NA,NA,NA,315,"Y",NA,NA,NA,NA,NA,NA,NA,"스마트폰은 24시간 엄마 아빠랑 있지만, 우리는 그러지 못한다!그래서 ‘이거 어떻게 하더라?’ 진짜 필요한 스마트폰 꿀팁을 한데 모아서누적조회수 200만 유튜버, 온선이 싹~ 알려준다!카톡으로 송금 보내고 싶은...","https://image.yes24.com/goods/145993511/L"
"일잘러의 무기가 되는 엑셀 파워 쿼리","146357862","https://www.yes24.com/product/goods/146357862","오피스 활용","최준선 저","한빛미디어","2025년 05월","24,000","21,600","10",NA,NA,"5/14(수) 발송예정(예약판매)",NA,NA,NA,NA,"Y","Y",NA,NA,NA,NA,NA,NA,"일잘러의 무기가 되는 파워 쿼리 기능 15개를 학습한다!엑셀의 한계를 뛰어넘어 원하는 데이터를 쉽고 빠르게 얻는 방법을 학습한다!오늘날 비즈니스 환경에서 가장 중요한 것은 단연 데이터다. 데이터를 읽고, 정리...","https://image.yes24.com/goods/146357862/L"
"단계학습 한글2022 기본&실무프로젝트","145967846","https://www.yes24.com/product/goods/145967846","오피스 활용","렉스기획팀 저","REXmedia(렉스미디어)","2025년 05월","14,000","12,600","10",NA,NA,"2일 이내 (5/13, 화) 출고예정",NA,NA,NA,42,NA,"Y",NA,NA,NA,NA,NA,NA,"엄선된 학습 내용과 다양한 예제 사용하고, 쉽게 따라할 수 있는 단계별 따라하도록 하였으며, 바로 활용할 수 있는 찐실무 프로젝트를 수록했다.","https://image.yes24.com/goods/145967846/L"
"쓱 하고 싹 배우는 파워포인트 365","145752875","https://www.yes24.com/product/goods/145752875","오피스 활용","최옥주 저","영진닷컴","2025년 05월","14,000","12,600","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,"영진닷컴-쓱싹 시리즈-22",60,NA,"Y",NA,NA,NA,NA,NA,NA,"친절한 설명과 재미있는 실습 예제가 큰 그림과 큰 글씨로 담겨 있어 누구나 쉽고 빠르게 배울 수 있는 ‘파워포인트 365’마이크로소프트 오피스 365는 월 사용료를 납부하는 구독형 오피스 프로그램으로, 클라우드...","https://image.yes24.com/goods/145752875/L"
"엑셀 리터러시","142767331","https://www.yes24.com/product/goods/142767331","오피스 활용","유현배 저","연두에디션","2025년 04월","18,000","18,000",NA,NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,"데이터 시대의 필수 역량, 엑셀 리터러시를 말하다데이터 분석과 관리가 필수 역량이 된 시대, 마이크로소프트 엑셀(Excel)은 단순한 스프레드시트를 넘어 강력한 데이터 처리 도구로 자리 잡았다. 『엑셀 리터러시...","https://image.yes24.com/goods/142767331/L"
"이게 되네? 챗GPT 미친 크롤링 24제 + 이게 되네? 챗GPT 미친 활용법 71제 세트","145391072","https://www.yes24.com/product/goods/145391072","오피스 활용","오힘찬, 박현규 저","골든래빗","2025년 04월","50,000","45,000","10","9.7","회원리뷰(115건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"2권",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://image.yes24.com/goods/145391072/L"
"이게 되네? 챗GPT 미친 크롤링 24제","144868498","https://www.yes24.com/product/goods/144868498","오피스 활용","박현규 저","골든래빗","2025년 04월","26,000","23,400","10","10.0","회원리뷰(2건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,3936,NA,"Y",NA,20,NA,NA,"Y","Y","클릭보다 빠른 데이터 수집, 코딩 없이 챗GPT와 함께라면 웹 크롤링도 문제없습니다!API부터 나만의 GPTs, 엑셀, 차트, 결과물까지! 이걸 긁네? 웹 크롤링과 자동화의 모든 과정을 한 권으로 완성!하루 1시간으로 데...","https://image.yes24.com/goods/144868498/L"
"M365 코파일럿 무작정 따라하기","145015291","https://www.yes24.com/product/goods/145015291","오피스 활용","김시연, 서지영 저","길벗","2025년 04월","22,000","19,800","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,3996,NA,"Y",NA,17,NA,NA,"Y","Y","일잘러를 위한 최고의 업무 파트너!이제 일잘러의 기준은 Copilot이다.일하는 방식이 바뀌면, 일하는 사람이 달라진다. 『M365 Copilot 무작정 따라하기』는 M365 Copilot의 작동 방법은 물론, 일잘러라면 꼭 알아야...","https://image.yes24.com/goods/145015291/L"
"엑셀 2021 작품만들기","144497858","https://www.yes24.com/product/goods/144497858","오피스 활용","창의콘텐츠연구소 저","해람북스","2025년 04월","14,000","12,600","10",NA,NA,"2일 이내 (5/13, 화) 출고예정",NA,NA,"OA마스터",42,NA,NA,NA,NA,NA,NA,NA,NA,"“하나뿐인 나만의 작품 만들기”OA마스터 시리즈는 다양한 기능을 사용하여 나만의 작품을 만들 수 있는 OA심화 교재로 다음과 같은 특징으로 구성하였다. 주요 기능을 활용하여 재미있고 실용적인 작품을 만들어 ...","https://image.yes24.com/goods/144497858/L"
"할 수 있다! 엑셀 2021 기초","144690322","https://www.yes24.com/product/goods/144690322","오피스 활용","장경숙 저","시대인","2025년 04월","12,000","10,800","10","10.0","회원리뷰(3건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,84,NA,NA,NA,8,NA,NA,"Y",NA,"누구나 쉽게 배울 수 있는 엑셀 입문서엑셀을 활용하면 다양한 수식을 이용하는 서류를 쉽게 만들 수 있다. 이 책은 엑셀을 어려워하는 엑셀 초보자를 위한 입문서로 일정표, 예약 관리 프로그램, 재고 현황표, 판매...","https://image.yes24.com/goods/144690322/L"
"씽크톡톡 한글 2022","144699967","https://www.yes24.com/product/goods/144699967","오피스 활용","도용화, 금미정 저","웰북","2025년 04월","10,000","9,000","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,84,NA,"Y",NA,NA,NA,NA,NA,NA,NA,"https://image.yes24.com/goods/144699967/L"
"씽크톡톡 엑셀 2021","144699966","https://www.yes24.com/product/goods/144699966","오피스 활용","도용화, 금미정 저","웰북","2025년 04월","10,000","9,000","10",NA,NA,"2일 이내 (5/13, 화) 출고예정",NA,NA,NA,42,NA,"Y",NA,NA,NA,NA,NA,NA,NA,"https://image.yes24.com/goods/144699966/L"
