"title","book_id","detail_url","category","author_raw","publisher","pub_date","original_price","sale_price","discount_rate","rating","review_count","delivery_info","badge","signature","series_name","sales_index","is_reserved","has_preview","is_soldout","revised_notice","ebook_info","gift_info","description","image_url"
"처음부터 시작하는 Next.js / React 개발 입문","145013501","https://www.yes24.com/product/goods/145013501","모바일 프로그래밍","미요시 아키 저/김모세 역","AK(에이케이 커뮤니케이션즈)","2025년 04월","35,200","33,440","5",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,726,NA,"Y",NA,NA,NA,NA,"『처음부터 시작하는 Next.js / React 개발 입문』은 Next.js를 처음 사용하는 분을 대상 독자로 한 초보자용 입문서이다. ‘Next.js가 어렵게 느껴졌지만 의외로 그렇지 않다’, ‘Next.js로 애플리케이션을 개발해...","https://image.yes24.com/goods/145013501/L"
"Do it! 스위프트로 아이폰 앱 만들기 입문","143049138","https://www.yes24.com/product/goods/143049138","모바일 프로그래밍","송호정, 이범근 저","이지스퍼블리싱","2025년 03월","36,000","32,400","10","9.5","회원리뷰(4건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"개정8판","이지스퍼블리싱-Do it! 시리즈",492,NA,"Y",NA,NA,"Y","Y","아이폰 앱 개발 분야 1위! 『Do it! 스위프트로 아이폰 앱 만들기 입문』 2025년 최신판 출간!아이폰 앱 개발 분야 1위 도서인 『Do it! 스위프트로 아이폰 앱 만들기 입문』이 최신 버전을 반영하여 전면 개정되었...","https://image.yes24.com/goods/143049138/L"
"Kotlin in Action 2/e","142690359","https://www.yes24.com/product/goods/142690359","모바일 프로그래밍","세바스티안 아이그너, 로만 엘리자로프, 스베트라나 이사코바, 드미트리 제메로프 저/오현석 역","에이콘출판사","2025년 02월","48,000","43,200","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"코루틴과 플로우 포함 코틀린 2 대응","에이콘- 모바일 프로그래밍 시리즈",3012,NA,"Y",NA,NA,NA,NA,"안드로이드 공식 언어인 코틀린은 실용성과 간결성, 자바와의 상호 운용성으로 인해 서버 프로그래밍 등 다양한 분야에 쓰이는 경우가 늘고 있다. 코틀린 언어의 가장 큰 특징이라면 실용성을 들 수 있을 것이다. 이...","https://image.yes24.com/goods/142690359/L"
"코틀린으로 배우는 안드로이드 앱 개발 실전 노하우 2/e","142557036","https://www.yes24.com/product/goods/142557036","모바일 프로그래밍","알렉스 포레스터, 에란 부즈나, 알렉산드루 덤브라반, 조마르 티그칼 저/김윤지 역 외 1명
                                        
                                            정보 더 보기/감추기
                                            
                                                
                                                    알렉스 포레스터
                                                                에란 부즈나
                                                                알렉산드루 덤브라반
                                                                조마르 티그칼
                                                                김윤지
                                                                임태규","에이콘출판사","2025년 02월","45,000","40,500","10","9.0","회원리뷰(2건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,"에이콘- 모바일 프로그래밍 시리즈",468,NA,"Y",NA,NA,"Y",NA,"이 책은 안드로이드 스튜디오와 코틀린을 활용해 앱을 만드는 기초부터 시작해, 사용자 친화적인 화면 설계, 백그라운드 작업, 데이터 관리, 앱 내비게이션 등 앱 개발의 핵심 기술을 익힐 수 있도록 돕는다. Retrof...","https://image.yes24.com/goods/142557036/L"
"레트로의 유니티 6 게임 프로그래밍 에센스","142763143","https://www.yes24.com/product/goods/142763143","모바일 프로그래밍","이제민 저","한빛미디어","2025년 02월","66,000","59,400","10","9.8","회원리뷰(71건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"제3판","소문난 명강의 시리즈",3909,NA,"Y",NA,NA,"Y",NA,"최고의 유니티 마스터 레트로가 알려주는 가장 친절한 유니티 게임 개발 튜토리얼유니티 입문서의 절대 강자 『레트로의 유니티 게임 프로그래밍 에센스』가 유니티 6에 맞춰 더욱 강력해진 3판으로 돌아왔다. 이 책...","https://image.yes24.com/goods/142763143/L"
"Do it! 깡샘의 안드로이드 앱 프로그래밍 with 코틀린","141792177","https://www.yes24.com/product/goods/141792177","모바일 프로그래밍","강성윤 저","이지스퍼블리싱","2025년 02월","42,000","37,800","10","10.0","회원리뷰(21건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"개정4판","이지스퍼블리싱-Do it! 시리즈",2946,NA,"Y",NA,NA,NA,"Y","안드로이드 분야 도서 1위! 개정 4판 출간!20여 년간 현업과 강의 현장에서 쌓은 ‘깡샘’의 개발 노하우를 배워 보자! 안드로이드 분야 1위 도서인 『Do it! 깡샘의 안드로이드 앱 프로그래밍 with 코틀린』이 개정...","https://image.yes24.com/goods/141792177/L"
"선생님을 위한 노션","140242586","https://www.yes24.com/product/goods/140242586","모바일 프로그래밍","임세범 저","앤써북","2025년 01월","21,800","19,620","10","9.9","회원리뷰(15건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,8655,NA,NA,NA,NA,NA,NA,"유치원·어린이집/초·중·고등학교 선생님을 위한 쉬운 노션 활용 비법서노션 실전기초, 수업활용, 학생관리, 업무관리, 업무자동화, 노션AI 활용법을 한 번에 다 잡자! 이제까지 선생님을 위한 노션 사용법을 알려주...","https://image.yes24.com/goods/140242586/L"
"코틀린 아카데미 3권 세트","142251304","https://www.yes24.com/product/goods/142251304","모바일 프로그래밍","마르친 모스카와 저/신성열 역","인사이트(insight)","2025년 01월","82,000","73,800","10","10.0","회원리뷰(3건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"3권",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://image.yes24.com/goods/142251304/L"
"코틀린 아카데미 : 고급편","141732613","https://www.yes24.com/product/goods/141732613","모바일 프로그래밍","마르친 모스카와 저/신성열 역","인사이트(insight)","2025년 01월","30,000","27,000","10","10.0","회원리뷰(1건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,"프로그래밍인사이트(ProgrammingInsight)",870,NA,"Y",NA,NA,"Y",NA,"평범한 코틀린 개발자에서 진정한 코틀린 전문가로 거듭나기!많은 코틀린 개발자가 실용적인 앱 개발을 위해 컨트랙트, 변성 제어자, 코틀린 심벌 처리기 등의 고급 기능을 사용하고 있지만, 그 내부 동작 원리를 제...","https://image.yes24.com/goods/141732613/L"
"Must Have 코드팩토리의 플러터 프로그래밍","140837116","https://www.yes24.com/product/goods/140837116","모바일 프로그래밍","최지호 저","골든래빗","2025년 01월","44,000","39,600","10","10.0","회원리뷰(1건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"3판","골든래빗 - Must Have 시리즈",2862,NA,"Y",NA,NA,"Y",NA,"생성형 AI 기술을 사용한 〈AI 챗봇〉 앱 개발 예제 추가!인프런 NO.1 플러터 강사와 함께 현업 수준으로 실력 끌어올려보세요!앱 개발, 관심은 많지만 시작하기 어려운가? 코드팩토리의 플러터 프로그래밍 한 권이...","https://image.yes24.com/goods/140837116/L"
