"title","book_id","detail_url","category","author_raw","publisher","pub_date","original_price","sale_price","discount_rate","rating","review_count","delivery_info","badge","signature","series_name","sales_index","is_reserved","has_preview","is_soldout","revised_notice","ebook_info","gift_info","description","image_url"
"엄마 아빠에게 선물하는 스마트폰 활용 + 챗GPT 무한 꿀팁 36","145993511","https://www.yes24.com/product/goods/145993511","인터넷 비즈니스","온선(김은정) 저","골든래빗","2025년 06월","24,000","21,600","10",NA,NA,"6/2(월) 발송예정(예약판매)",NA,NA,NA,315,"Y",NA,NA,NA,NA,NA,"스마트폰은 24시간 엄마 아빠랑 있지만, 우리는 그러지 못한다!그래서 ‘이거 어떻게 하더라?’ 진짜 필요한 스마트폰 꿀팁을 한데 모아서누적조회수 200만 유튜버, 온선이 싹~ 알려준다!카톡으로 송금 보내고 싶은...","https://image.yes24.com/goods/145993511/L"
"캔바로 쉽고 빠르게 콘텐츠 디자인하기","146262491","https://www.yes24.com/product/goods/146262491","인터넷 비즈니스","권유진, 백은영, 서미경, 송민경, 안은진 저 외 3명
                                        
                                            정보 더 보기/감추기
                                            
                                                
                                                    권유진
                                                                백은영
                                                                서미경
                                                                송민경
                                                                안은진
                                                                윤승희
                                                                정세경
                                                                홍신애","아티오","2025년 05월","18,500","16,650","10","9.8","회원리뷰(10건)","2일 이내 (5/13, 화) 출고예정",NA,NA,"Start up 스타트업 시리즈",5220,NA,"Y",NA,NA,NA,NA,"누구나 디자이너가 되는 시대, 이젠 캔바 하나로 무엇이든 만든다!AI와 디자인이 만난 캔바 활용서, 『캔바로 쉽고 빠르게 콘텐츠 디자인하기』 출간!감성 콘텐츠 디자인을 쉽고 빠르게 배울 수 있는 실전 활용서, ...","https://image.yes24.com/goods/146262491/L"
"선생님을 위한 캔바 수업 활용","146043037","https://www.yes24.com/product/goods/146043037","인터넷 비즈니스","김민주 저","앤써북","2025년 05월","18,800","16,920","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,1032,NA,NA,NA,NA,NA,NA,"초ㆍ중ㆍ고등학교 모든 선생님을 위한 캔바 활용 비법서캔바 A to Z까지, 수업 자료 만들기, 협업 수업과 평가, 에듀테크 활용 수업, 캔바 AI 수업 활용법을 한 번에 다 잡자! 『선생님을 위한 캔바 수업 활용』은 ...","https://image.yes24.com/goods/146043037/L"
"레베기의 유튜브 콘텐츠 POWER 법칙","146285291","https://www.yes24.com/product/goods/146285291","인터넷 비즈니스","레베기 저","리코멘드","2025년 05월","18,800","16,920","10","10.0","회원리뷰(2건)","5/15(목) 발송예정(예약판매)",NA,NA,NA,240,"Y","Y",NA,NA,NA,NA,"기술자의 콘텐츠 혁명, 레베기가 알려주는 유튜브 비즈니스 전략서“기술만으로 인정받던 시대는 끝났다. 이제는 '어떻게 보여 주느냐'가 더 중요한 시대다.”가죽 공예 유튜브 채널 『레베기의 이상한 아뜰리에 LEB...","https://image.yes24.com/goods/146285291/L"
"인텐트 마케팅 혁명","146262310","https://www.yes24.com/product/goods/146262310","인터넷 비즈니스","박세용, 한초롱, 정길선, 권형우 저","책만","2025년 05월","25,000","22,500","10",NA,NA,"5/13(화) 발송예정(예약판매)",NA,NA,NA,660,"Y","Y",NA,NA,NA,NA,"고객 인텐트는 새로운 브랜드 성장 전략의 출발점이다!검색 데이터에서 고객의 여정을 읽고 브랜드 전략으로 전환하라!검색 데이터에서 찾은 고객의 숨겨진 고민과 니즈, 브랜드 성장을 위한 해답은?고객 여정부터 S...","https://image.yes24.com/goods/146262310/L"
"네이버 스마트스토어 운영하기","146041188","https://www.yes24.com/product/goods/146041188","인터넷 비즈니스","서미진 저","한빛미디어","2025년 05월","21,000","18,900","10","10.0","회원리뷰(4건)","5/14(수) 발송예정(예약판매)",NA,NA,NA,960,"Y","Y",NA,NA,NA,NA,"스마트스토어, 시작은 했지만 매출이 오르지 않는다면?지금 필요한 건 ‘운영력’이다!스마트스토어는 누구나 쉽게 시작할 수 있지만, 매출이 꾸준히 오르는 스마트스토어는 운영 방식부터 다르다. 상품을 등록했는...","https://image.yes24.com/goods/146041188/L"
"숏폼 영상 편집 제작 및 수익 창출 with 캡컷 · 생성형 AI","145276955","https://www.yes24.com/product/goods/145276955","인터넷 비즈니스","채수창 저","앤써북","2025년 05월","13,800","12,420","10","10.0","회원리뷰(5건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"2판",NA,2868,NA,NA,NA,NA,NA,NA,"캡컷을 활용해 유튜브 쇼츠, 틱톡, 릴스 등 다양한 플랫폼에 맞는 숏폼 영상 편집·제작부터 수익 창출까지 한 권에 모두 담았다. 2판에서는 숏폼 영상 기획부터 제작까지 전 과정을 생성형 AI를 활용하는 파트를 추...","https://image.yes24.com/goods/145276955/L"
"그림 한 장으로 보는 최신 IT 트렌드(최신개정판)","145631654","https://www.yes24.com/product/goods/145631654","인터넷 비즈니스","Saito Masanori 저 / 김모세 역","정보문화사","2025년 04월","23,000","20,700","10","10.0","회원리뷰(9건)","2일 이내 (5/13, 화) 출고예정",NA,NA,NA,60,NA,"Y",NA,NA,NA,NA,"‘이해’에서 ‘실현’으로 가는 가장 빠른 길!ChatGPT를 포함한 생성형 AI, 블록체인, 가상화, 양자컴퓨터 등 빠르게 변화하는 IT 트렌드는 우리의 일상과 비즈니스를 어떻게 바꿀까? 트렌드를 단지 쫓아가는 것이 ...","https://image.yes24.com/goods/145631654/L"
"현직 교사가 만든 업무자동화를 원하는 교사를 위한 찐 실전 챗GPT GPTs·미조우·제미나이 - 챗봇 만들기 생성형 AI 챗봇으로 수업 업무 박살 내기!","145383562","https://www.yes24.com/product/goods/145383562","인터넷 비즈니스","김요섭, 허영주, 조래정, 정재우 저","광문각출판미디어","2025년 04월","15,000","15,000",NA,"9.9","회원리뷰(21건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,4260,NA,"Y",NA,NA,NA,NA,"이 책에서는 ‘내 GPT’로 잘 알려진 ‘GPTs’, 수업용으로 개발된 AI 챗봇 도구인 ‘미조우(Mizou)’, 미성년자도 무료로 활용할 수 있는 AI 도구인 ‘제미나이(Gemini)’의 세 가지 AI 도구를 다루며, AI 챗봇을 ...","https://image.yes24.com/goods/145383562/L"
"네이버 블로그 AI 자동화 마케팅 with 챗GPT+Zapier+Make","145343581","https://www.yes24.com/product/goods/145343581","인터넷 비즈니스","조영빈 저","디지털북스","2025년 04월","20,000","18,000","10","10.0","회원리뷰(1건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,2868,NA,"Y",NA,NA,NA,NA,"매일 블로그에 글을 작성하지 않아도 블로그 최적화를 이룩할 수 있다!""챗GPT, 재피어(Zapier), 메이크(Make)로 구현하는 블로그마케팅 자동화의 모든 것“국내에서 가장 많은 사람들이 사용하는 블로그인 네이버 블...","https://image.yes24.com/goods/145343581/L"
